"","code","country_name","amount_goods","share_goods","amount_services","share_services","amount_total","share_total","year"
"52","RUS","Russian Federation",799791299,0.0559850838238227,198600000,0.0347628216348678,998391299,0.0499225786512667,2020
"53","SAU","Saudi Arabia",70113192,0.00490789651773365,1400000,0.000245055137405916,71513192,0.00357587546666223,2020
"54","SGP","Singapore",39140576,0.00273982529068837,49400000,0.00864694556275162,88540576,0.00442729606479519,2020
"55","SWE","Sweden",1487728432,0.104140418977732,510500000,0.0893576054612288,1998228432,0.0999174533668661,2020
"56","SVK","Slovak Republic",27674573,0.00193720948343738,15200000,0.00266059863469281,42874573,0.002143858069352,2020
"57","SVN","Slovenia",17468475,0.00122278654240442,3600000,0.000630141781900928,21068475,0.00105348734639738,2020
"58","ZAF","South Africa",18261895,0.00127832563774471,4.1e+07,0.00717661473831612,59261895,0.00296327363542119,2020
"59","THA","Thailand",16292817,0.00114049093383698,2300000,0.000402590582881148,18592817,0.000929696973482047,2020
"60","TUN","Tunisia",755321,5.28721799696568e-05,0,0,755321,3.776832997966e-05,2020
"61","TUR","Turkey",122190696,0.00855330180086297,27400000,0.00479607911780151,149590696,0.00747998634807587,2020
"62","TWN","Chinese Taipei",24351850,0.00170462014930617,2500000,0.000437598459653422,26851850,0.00134267355384576,2020
"63","USA","United States",1123316608,0.0786317312256384,249300000,0.0436373183966392,1372616608,0.0686349737217762,2020
"64","VNM","Viet Nam",10815491,0.000757080217036469,3700000,0.000647645720287065,14515491,0.0007258183658402,2020
